Carimbo de data/hora,DATA,HORÁRIO,TIPO DE EVENTO,Tipo de Culto,QUEM MINISTROU:,TÍTULO DA MENSAGEM,O CULTO FOI DE UMA SÉRIE?,"SE FOR SÉRIE, QUAL NOME?",QUANTIDADE DE HOMENS,QUANTIDADE DE MULHERES,QUANTIDADE DE CRIANÇAS,QUANTIDADE DE BEBÊS,QUANTIDADE DE VOLUNTÁRIOS,COMENTÁRIOS ADICIONAIS
27/04/2025 11:25:22,27/04/2025,10:30:00,Culto,Culto de Celebração,Pastor Eduardo,Tesouro nas profundezas ,SIM,Riquesas encobertas tesouros escondidos,31,51,11,3,18,
27/04/2025 17:51:15,27/04/2025,17:00:00,Culto,Culto de Celebração,Pastor Klayton,Tesouros nas Profundezas ,SIM,Riquezas Encobertas Tesouros Escondidos ,25,42,15,5,24,Teen 21
27/04/2025 20:02:39,27/04/2025,19:00:00,Culto,Culto de Celebração,Pr Cleiton ,Tesouros nas profundezas ,SIM,Riquezas encobertas tesouros escondidos ,73,88,28,13,25,
30/04/2025 19:54:33,30/04/2025,19:00:00,Culto,Culto de Quarta,Pastora Ana lucia,Mais que vencedores ,SIM,Riqueaas encobertos tesouro escondido,20,23,12,03,17,Entre adultos e pastores 60
04/05/2025 11:26:46,04/05/2025,10:30:00,Culto,Culto de Celebração,Pra. Ana Lúcia,Firmados na rocha,SIM,Minha fe tem fundamento,35,72,13,6,27,
04/05/2025 17:53:40,05/05/2025,17:00:00,Culto,Culto de Celebração,Pr Ana Lucia ,Firmados na rocha,SIM,Minha fé tem fundamento ,28,45,14,6,26,
04/05/2025 19:37:55,04/05/2025,19:00:00,Culto,Culto de Celebração,Prª Ana Lúcia ,Firmados na Rocha,SIM,Minha Fé tem Fundamento ,24,41,15,4,24,
07/05/2025 19:58:46,07/05/2025,19:00:00,Culto,Culto de Quarta,Pastor Waldomiro ,Tsaleach seja próspero ,SIM,Tsaleach,20,37,23,8,23,
11/05/2025 11:31:58,11/05/2025,10:30:00,Culto,Outros,Pastor Waldomiro ,Firmados na palavra imparáveis na Fé ,SIM,Minha Fé tem fundamento ,27,36,13,6,23,
11/05/2025 19:47:45,20/04/2025,19:00:00,Culto,Culto de Celebração,Pastor carlos canto,Firmados na Palavra imparaveis na Fé ,SIM,A minha fé tem fundamentos ,23,37,22,3,23,Total entre adultos e pastores 81
11/05/2025 21:32:25,11/05/2025,17:00:00,Culto,Culto de Celebração,Pastor Carlos Canto,"Firmados na palavra, imparáveis na fé ",SIM,Minha fé tem fundamento ,21,35,12,2,19,"Relevanteens 
Tema: Deus quer você curado 
Ministro: Matias
Voluntários 4
Teens 15"
14/05/2025 20:39:55,14/05/2025,19:00:00,Culto,Culto de Quarta,Marli Chaia,Autorizado a avançar ,SIM,Tsaleach,13,19,11,4,19,
